,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
count,36275,36275.0,36275.0,36275.0,36275.0,36275,36275.0,36275,36275.0,36275.0,36275.0,36275.0,36275,36275.0,36275.0,36275.0,36275.0,36275.0,36275
unique,36275,,,,,4,,7,,,,,5,,,,,,2
top,INN36275,,,,,Meal Plan 1,,Room_Type 1,,,,,Online,,,,,,Not_Canceled
freq,1,,,,,27835,,28130,,,,,23214,,,,,,24390
mean,,1.8449620951068229,0.10527911784975878,0.810723638869745,2.2043004824259134,,0.0309855272226051,,85.23255685733976,2017.8204272915232,7.423652653342522,15.596995175740869,,0.02563749138525155,0.023349414197105445,0.15341144038594073,103.42353907649897,0.6196554100620262,
std,,0.51871483790129,0.402648063589278,0.8706436147600001,1.4109048548240168,,0.17328084736891503,,85.93081669923257,0.3838364395590784,3.0698944112257687,8.740447368632898,,0.15805346903513287,0.3683314479197876,1.7541707114426388,35.08942403637036,0.7862358983956064,
min,,0.0,0.0,0.0,0.0,,0.0,,0.0,2017.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,
25%,,2.0,0.0,0.0,1.0,,0.0,,17.0,2018.0,5.0,8.0,,0.0,0.0,0.0,80.3,0.0,
50%,,2.0,0.0,1.0,2.0,,0.0,,57.0,2018.0,8.0,16.0,,0.0,0.0,0.0,99.45,0.0,
75%,,2.0,0.0,2.0,3.0,,0.0,,126.0,2018.0,10.0,23.0,,0.0,0.0,0.0,120.0,1.0,
max,,4.0,10.0,7.0,17.0,,1.0,,443.0,2018.0,12.0,31.0,,1.0,13.0,58.0,540.0,5.0,
